Motion Through Fluids Experiment Tue, Feb 28, 2023 3:26 PM
Time(sec)	Position(mm)
0.046	0.000
0.096	0.000
0.147	0.000
0.196	0.000
0.246	0.000
0.296	0.000
0.346	0.000
0.396	0.000
0.446	0.000
0.496	0.000
0.546	0.000
0.596	0.000
0.646	0.000
0.696	0.000
0.746	0.000
0.796	0.000
0.846	0.000
0.896	0.000
0.946	0.000
0.997	0.000
1.046	0.000
1.096	0.000
1.146	0.000
1.196	0.000
1.246	0.000
1.296	0.000
1.346	0.000
1.396	0.000
1.446	0.000
1.496	0.000
1.546	0.000
1.596	0.000
1.646	0.000
1.696	0.000
1.746	0.000
1.796	0.000
1.846	0.000
1.896	0.000
1.946	0.000
1.996	0.000
2.046	0.000
2.096	0.000
2.146	0.000
2.196	0.000
2.246	0.000
2.296	0.000
2.346	0.000
2.396	0.000
2.446	0.000
2.496	0.000
2.546	0.000
2.596	0.000
2.646	0.000
2.696	0.000
2.746	0.000
2.796	1.222
2.846	1.768
2.896	1.768
2.946	2.315
2.996	2.862
3.046	2.862
3.096	3.409
3.146	3.955
3.196	3.955
3.246	4.502
3.296	5.049
3.346	5.049
3.396	5.595
3.446	6.142
3.496	6.142
3.546	6.689
3.596	7.236
3.646	7.236
3.696	7.782
3.746	8.329
3.796	8.876
3.846	8.876
3.896	9.423
3.946	9.969
3.996	9.969
4.046	10.516
4.096	11.063
4.146	11.063
4.196	11.610
4.246	12.156
4.296	12.156
4.346	12.703
4.396	13.250
4.446	13.250
4.496	13.797
4.546	14.343
4.596	14.343
4.646	14.890
4.696	15.437
4.746	15.984
4.796	15.984
4.847	16.530
4.896	17.077
4.946	17.077
4.996	17.624
5.047	18.171
5.096	18.171
5.146	18.717
5.196	19.264
5.246	19.264
5.296	19.811
5.346	20.358
5.396	20.904
5.446	20.904
5.496	21.451
5.546	21.451
5.596	21.998
5.646	22.545
5.696	23.091
5.746	23.091
5.796	23.638
5.846	24.185
5.896	24.185
5.946	24.732
5.996	25.278
6.046	25.278
6.096	25.825
6.146	26.372
6.196	26.372
6.246	26.918
6.296	27.465
6.346	27.465
6.396	28.012
6.446	28.559
6.496	29.105
6.546	29.105
6.596	29.652
6.646	30.199
6.696	30.199
6.746	30.746
6.796	31.292
6.846	31.292
6.896	31.839
6.946	32.386
6.996	32.386
7.046	32.933
7.096	33.479
7.146	33.479
7.196	34.026
7.246	34.573
7.296	34.573
7.346	35.120
7.396	35.666
7.446	35.666
7.496	36.213
7.546	36.760
7.596	36.760
7.646	37.307
7.696	37.853
7.746	37.853
7.796	38.400
7.846	38.947
7.896	39.494
7.946	39.494
7.996	40.040
8.046	40.587
8.096	40.587
8.147	41.134
8.196	41.134
8.246	41.681
8.296	42.227
8.346	42.227
8.396	42.774
8.446	43.321
8.496	43.321
8.546	43.868
8.596	44.414
8.646	44.414
8.696	44.961
8.746	45.508
8.796	46.055
8.846	46.055
8.896	46.601
8.946	46.601
8.996	47.148
9.046	47.695
9.096	47.695
9.146	48.241
9.196	48.788
9.247	49.335
9.296	49.335
9.347	49.882
9.396	50.428
9.446	50.428
9.496	50.975
9.546	51.522
9.596	51.522
9.646	52.069
9.696	52.615
9.746	53.162
9.796	53.162
9.847	53.709
9.896	54.256
9.946	54.256
9.996	54.802
10.046	55.349
10.096	55.349
10.146	55.896
10.196	56.443
10.247	56.443
10.296	56.989
10.346	57.536
10.396	58.083
10.446	58.083
10.496	58.630
10.546	59.176
10.596	59.176
10.646	59.723
10.696	60.270
10.746	60.270
10.796	60.817
10.846	61.363
10.896	61.363
10.946	61.910
10.996	62.457
11.046	63.004
11.096	63.004
11.146	63.550
11.196	64.097
11.246	64.097
11.296	64.644
11.346	65.191
11.396	65.191
11.446	65.737
11.497	66.284
11.546	66.284
11.596	66.831
11.646	67.378
11.696	67.378
11.746	67.924
11.796	68.471
11.846	68.471
11.896	69.018
11.946	69.564
11.996	69.564
12.046	70.111
12.096	70.658
12.146	70.658
12.196	71.205
12.246	71.751
12.296	71.751
12.347	72.298
12.396	72.845
12.446	72.845
12.496	73.392
12.546	73.392
12.596	73.938
12.646	74.485
12.696	75.032
12.746	75.032
12.796	75.579
12.846	76.125
12.896	76.125
12.946	76.672
12.996	76.672
13.046	77.219
13.096	77.766
13.146	78.312
13.196	78.312
13.246	78.859
13.296	79.406
13.346	79.406
13.396	79.953
13.446	80.499
13.496	80.499
13.546	81.046
13.596	81.593
13.646	81.593
13.696	82.140
13.746	82.686
13.796	83.233
13.847	83.233
13.896	83.780
13.946	84.327
13.996	84.327
14.046	84.873
14.096	85.420
14.146	85.420
14.196	85.967
14.246	85.967
14.296	86.514
14.346	87.060
14.397	87.607
14.446	87.607
14.496	88.154
14.546	88.701
14.596	88.701
14.646	89.247
14.696	89.794
14.746	89.794
14.796	90.341
14.846	90.887
14.896	90.887
14.946	91.434
14.996	91.981
15.046	92.528
15.096	92.528
15.146	93.074
15.196	93.074
15.246	93.621
15.296	94.168
15.346	94.715
15.396	94.715
15.446	95.261
15.496	95.808
15.546	95.808
15.596	96.355
15.646	96.902
15.696	96.902
15.746	97.448
15.796	97.995
15.846	98.542
15.896	98.542
15.946	99.089
15.996	99.635
16.046	99.635
16.096	100.182
16.146	100.729
16.196	100.729
16.246	101.276
16.296	101.822
16.346	101.822
16.396	102.369
16.446	102.916
16.496	102.916
16.546	103.463
16.596	104.009
16.646	104.009
16.696	104.556
16.746	105.103
16.796	105.103
16.846	105.650
16.896	106.196
16.946	106.196
16.996	106.743
17.046	107.290
17.096	107.290
17.146	107.837
17.196	108.383
17.246	108.383
17.296	108.930
17.347	109.477
17.396	109.477
17.446	110.024
17.496	110.570
17.546	110.570
17.596	111.117
17.646	111.664
17.696	111.664
17.746	112.210
17.796	112.757
17.846	112.757
17.896	113.304
17.946	113.851
17.996	113.851
18.046	114.397
18.096	114.944
18.146	114.944
18.196	115.491
18.246	116.038
18.296	116.038
18.346	116.584
18.396	117.131
18.446	117.131
18.496	117.678
18.546	118.225
18.596	118.225
18.646	118.771
18.696	119.318
18.746	119.865
18.796	119.865
18.846	120.412
18.896	120.958
18.946	120.958
18.996	121.505
19.046	122.052
19.096	122.052
19.146	122.599
19.196	123.145
19.246	123.145
19.296	123.692
19.346	124.239
19.396	124.239
19.446	124.239
19.496	124.786
19.546	125.332
19.596	125.879
19.646	126.426
19.696	126.426
19.746	126.973
19.796	127.519
19.846	128.066
19.896	128.066
19.946	128.613
19.997	129.160
20.046	129.160
20.096	129.706
20.146	130.253
20.196	130.253
20.246	130.800
20.296	131.347
20.346	131.347
20.396	131.893
20.446	132.440
20.496	132.987
20.546	132.987
20.596	133.533
20.646	134.080
20.696	134.080
20.746	134.627
20.796	135.174
20.846	135.174
20.896	135.720
20.946	136.267
20.996	136.267
21.046	136.814
21.096	137.361
21.146	137.361
21.196	137.907
21.246	138.454
21.296	138.454
21.346	139.001
21.396	139.548
21.446	139.548
21.496	140.094
21.546	140.641
21.596	140.641
21.646	141.188
21.696	141.188
21.746	141.735
21.796	142.281
21.846	142.828
21.896	142.828
21.946	143.375
21.996	143.922
22.046	143.922
22.096	144.468
22.146	145.015
22.196	145.015
22.246	145.562
22.296	146.109
22.346	146.109
22.396	146.655
22.446	147.202
22.496	147.202
22.546	147.749
22.596	148.296
22.646	148.296
22.696	148.842
22.746	149.389
22.796	149.389
22.846	149.936
22.896	150.483
22.946	150.483
22.996	151.029
23.046	151.576
23.096	151.576
23.146	152.123
23.196	152.670
23.246	152.670
23.296	153.216
23.346	153.216
23.396	153.763
23.446	154.310
23.496	154.856
23.546	154.856
23.596	155.403
23.646	155.403
23.696	155.950
23.746	156.497
23.796	157.043
23.846	157.043
23.896	157.590
23.946	158.137
23.996	158.137
24.046	158.684
24.096	159.230
24.146	159.777
24.196	159.777
24.246	160.324
24.296	160.871
24.346	160.871
24.396	161.417
24.446	161.964
24.496	161.964
24.546	162.511
24.596	163.058
24.646	163.058
24.696	163.604
24.746	164.151
24.796	164.151
24.846	164.698
24.896	165.245
24.946	165.245
24.996	165.791
25.046	166.338
25.096	166.338
25.146	166.885
25.196	167.432
25.246	167.432
25.296	167.978
25.346	168.525
