Motion Through Fluids Experiment Thu, Mar 02, 2023 1:36 PM
Time(sec)	Position(mm)
0.055	0.000
0.121	0.000
0.188	0.000
0.258	0.000
0.322	0.000
0.389	0.000
0.456	0.000
0.523	0.000
0.591	0.000
0.657	0.000
0.724	0.000
0.791	0.000
0.858	0.000
0.925	0.000
0.992	0.000
1.059	0.675
1.127	0.675
1.193	1.768
1.260	2.315
1.327	3.409
1.394	3.955
1.461	5.049
1.528	5.595
1.595	6.689
1.662	7.236
1.729	8.329
1.796	8.876
1.863	9.969
1.930	10.516
1.997	11.610
2.064	12.156
2.131	13.250
2.198	13.797
2.265	14.890
2.332	15.437
2.399	16.530
2.466	17.077
2.533	18.171
2.600	18.717
2.667	19.811
2.734	20.358
2.802	21.451
2.868	21.998
2.935	23.091
3.002	23.638
3.069	24.732
3.136	25.278
3.203	26.372
3.273	27.465
3.337	28.012
3.404	28.559
3.471	29.652
3.538	30.199
3.605	31.292
3.672	31.839
3.739	32.933
3.806	34.026
3.873	34.573
3.940	35.666
4.007	36.213
4.074	36.760
4.141	37.853
4.208	38.947
4.275	39.494
4.342	40.040
4.409	41.134
4.476	41.681
4.543	42.774
4.610	43.868
4.677	44.414
4.744	45.508
4.811	46.055
4.878	47.148
4.945	47.695
5.012	48.241
5.079	49.335
5.146	50.428
5.213	50.975
5.280	52.069
5.347	52.615
5.415	53.709
5.481	54.256
5.548	55.349
5.615	55.896
5.682	56.989
5.749	57.536
5.816	58.630
5.883	59.176
5.950	59.723
6.017	60.817
6.084	61.910
6.151	62.457
6.218	63.550
6.286	64.097
6.352	65.191
6.419	65.737
6.486	66.831
6.553	67.378
6.620	67.924
6.687	69.018
6.754	70.111
6.821	70.658
6.888	71.205
6.955	72.298
7.022	73.392
7.089	73.938
7.156	75.032
7.223	75.579
7.290	76.672
7.357	77.219
7.424	77.766
7.491	78.859
7.558	79.953
7.625	80.499
7.692	81.593
7.759	82.140
7.826	83.233
7.893	83.780
7.960	84.873
8.027	85.420
8.094	86.514
8.161	87.060
8.228	88.154
8.295	88.701
8.362	89.794
8.429	90.341
8.496	91.434
8.563	91.981
8.630	93.074
8.697	93.621
8.764	94.715
8.831	95.261
8.898	96.355
8.965	96.902
9.032	97.995
9.099	98.542
9.166	99.635
9.233	100.182
9.300	101.276
9.367	101.822
9.434	102.916
9.501	103.463
9.568	104.556
9.635	105.103
9.702	106.196
9.769	106.743
9.836	107.837
9.903	108.383
9.970	109.477
10.037	110.024
10.104	111.117
10.171	111.664
10.238	112.757
10.305	113.304
10.372	114.397
10.439	114.944
10.506	116.038
10.573	116.584
10.640	117.678
10.707	118.225
10.774	119.318
10.841	119.865
10.908	120.958
10.975	121.505
11.042	122.052
11.109	123.145
11.176	124.239
11.243	125.332
11.310	125.879
11.377	126.426
11.444	127.519
11.511	128.066
11.578	129.160
11.646	129.706
11.712	130.800
11.779	131.347
11.846	132.440
11.913	132.987
11.980	134.080
12.047	134.627
12.114	135.720
12.181	136.267
12.248	137.361
12.315	137.907
12.382	139.001
12.449	139.548
12.516	140.641
12.583	141.188
12.650	142.281
12.717	142.828
12.784	143.922
12.851	144.468
12.918	145.562
12.985	146.109
13.053	147.202
13.119	147.749
13.186	148.842
13.254	149.389
13.320	150.483
13.387	151.029
13.454	152.123
13.521	152.670
13.588	153.763
13.655	154.310
13.722	155.403
13.789	155.950
13.856	157.043
13.923	157.590
13.990	158.684
14.057	159.230
14.124	160.324
14.191	160.871
14.258	161.964
14.325	162.511
14.392	163.604
14.459	164.151
14.526	164.698
14.593	165.791
14.660	167.432
14.727	167.978
14.794	168.525
14.861	169.072
14.928	170.165
14.995	170.712
15.062	171.806
15.129	172.352
15.196	173.446
15.263	173.992
15.330	175.086
15.398	176.179
15.464	176.726
15.531	177.273
15.598	178.366
15.665	178.913
15.732	180.007
15.799	180.553
15.866	181.647
15.933	182.194
16.001	183.287
16.067	183.834
16.134	184.927
16.201	185.474
16.268	186.568
16.335	187.114
16.402	188.208
16.469	188.755
16.536	189.848
16.603	190.395
16.670	190.942
16.737	192.035
16.804	192.582
16.871	193.675
16.938	193.675
17.005	193.675
17.072	193.129
17.140	196.956
17.206	198.049
17.273	198.596
17.340	199.689
17.407	200.236
17.474	201.330
17.541	201.876
17.608	202.970
17.675	203.517
17.742	204.610
17.809	205.157
17.876	206.250
17.943	206.797
18.010	207.344
18.077	208.437
18.144	209.531
18.211	210.078
18.278	210.624
18.345	211.718
18.412	212.265
18.479	213.358
18.546	213.905
18.613	214.998
18.680	216.092
18.747	216.638
18.814	217.185
18.881	218.279
18.948	218.825
19.015	219.919
19.082	221.012
19.149	221.559
19.216	222.106
19.283	223.199
19.350	223.746
19.417	224.840
19.484	225.933
19.551	226.480
19.618	227.027
19.685	228.120
19.752	228.667
19.819	229.760
19.886	230.307
19.953	231.401
20.020	231.947
20.087	232.494
20.154	233.588
20.221	234.681
20.289	235.228
20.355	236.321
20.422	236.868
20.489	237.415
20.556	238.508
20.623	239.055
20.690	240.148
20.757	240.695
20.824	241.789
20.891	242.335
20.958	243.429
21.025	243.976
21.092	245.069
21.159	245.616
21.226	246.163
21.293	247.256
21.360	247.803
21.427	248.896
21.494	249.443
21.561	250.537
21.628	251.083
21.695	251.630
21.762	252.724
21.829	253.270
21.896	253.817
21.963	254.364
22.030	255.457
22.097	0.000
22.164	0.000
22.231	0.000
22.298	0.000
22.365	0.000
22.432	0.000
22.499	0.000
22.566	0.000
22.633	0.000
22.700	0.000
22.767	0.000
22.834	0.000
22.901	0.000
22.968	0.000
23.035	0.000
23.102	0.000
23.169	0.000
23.236	0.000
23.303	0.000
23.370	0.000
23.437	0.000
23.504	0.000
23.571	0.000
23.638	0.000
23.705	0.000
23.773	0.000
23.839	0.000
23.906	0.000
23.973	0.000
24.040	0.000
24.107	0.000
