Motion Through Fluids Experiment Thu, Mar 02, 2023 2:17 PM
Time(sec)	Position(mm)
0.001	0.000
0.136	0.000
0.202	0.000
0.269	0.000
0.336	0.000
0.403	0.000
0.470	0.000
0.537	0.000
0.604	0.000
0.671	0.000
0.738	0.000
0.805	0.000
0.872	0.000
0.939	0.000
1.006	0.000
1.073	0.000
1.140	0.000
1.207	0.000
1.274	0.675
1.341	1.222
1.408	1.222
1.475	2.315
1.542	2.862
1.609	3.955
1.676	4.502
1.743	5.595
1.810	6.142
1.877	7.236
1.944	7.782
2.011	8.876
2.078	9.969
2.145	10.516
2.212	11.610
2.279	12.156
2.346	13.250
2.413	13.797
2.480	14.890
2.547	15.437
2.614	16.530
2.681	17.077
2.748	18.171
2.815	18.717
2.882	19.811
2.949	20.358
3.016	21.451
3.083	21.998
3.150	23.091
3.217	23.638
3.284	24.732
3.351	25.278
3.418	26.372
3.485	26.918
3.552	28.012
3.619	28.559
3.686	29.652
3.753	30.199
3.820	31.292
3.887	31.839
3.954	32.933
4.021	33.479
4.088	34.573
4.155	35.666
4.222	36.213
4.289	37.307
4.356	37.853
4.423	38.400
4.490	39.494
4.557	40.587
4.624	41.134
4.691	42.227
4.758	42.774
4.825	43.868
4.892	44.414
4.959	45.508
5.026	46.055
5.093	47.148
5.161	47.695
5.227	48.788
5.294	49.335
5.361	49.882
5.428	51.522
5.495	52.069
5.562	52.615
5.629	53.709
5.696	54.256
5.763	55.349
5.830	56.443
5.897	56.989
5.964	58.083
6.031	58.630
6.098	59.176
6.165	60.270
6.232	61.363
6.300	61.910
6.366	62.457
6.433	63.550
6.500	64.097
6.567	65.191
6.634	65.737
6.701	66.831
6.768	67.378
6.835	68.471
6.902	69.018
6.969	70.111
7.036	70.658
7.103	71.751
7.170	72.298
7.237	73.392
7.304	73.938
7.371	75.032
7.438	75.579
7.505	76.672
7.572	77.219
7.639	78.312
7.706	78.859
7.773	79.953
7.841	80.499
7.907	81.593
7.974	82.140
8.041	83.233
8.108	83.780
8.175	84.873
