Motion Through Fluids Experiment Thu, Mar 02, 2023 2:18 PM
Time(sec)	Position(mm)
0.052	0.000
0.114	0.000
0.176	0.000
0.238	0.000
0.300	0.000
0.362	0.000
0.424	0.000
0.486	0.000
0.548	0.000
0.610	0.000
0.672	0.000
0.734	0.000
0.796	0.675
0.859	0.675
0.920	0.675
0.982	0.675
1.044	1.222
1.106	1.768
1.168	1.768
1.230	2.315
1.292	2.315
1.354	2.862
1.416	3.955
1.478	4.502
1.540	5.049
1.602	5.595
1.664	6.142
1.726	7.236
1.788	7.782
1.850	8.329
1.912	8.876
1.974	9.423
2.036	10.516
2.098	11.063
2.160	11.610
2.222	12.703
2.284	13.250
2.346	13.797
2.408	14.343
2.470	14.890
2.532	15.984
2.594	16.530
2.656	17.077
2.718	17.624
2.780	18.717
2.842	19.264
2.904	19.811
2.966	20.358
3.029	20.904
3.090	21.451
3.152	22.545
3.214	23.091
3.276	23.638
3.338	24.185
3.400	24.732
3.462	25.825
3.524	26.372
3.586	26.918
3.648	27.465
3.710	28.012
3.772	29.105
3.834	29.652
3.896	30.199
3.958	30.746
4.020	31.292
4.082	32.386
4.144	32.933
4.206	33.479
4.268	34.026
4.330	34.573
4.392	35.120
4.454	36.213
4.516	36.760
4.578	37.307
4.640	37.853
4.703	38.400
4.764	39.494
4.826	40.040
4.888	40.587
4.950	41.681
5.012	41.681
5.074	42.227
5.137	43.321
5.198	43.868
5.260	44.961
5.322	44.961
5.384	45.508
5.446	46.601
5.508	47.148
5.570	47.695
5.632	48.241
5.694	48.788
5.756	49.882
5.818	50.428
5.880	50.975
5.942	51.522
6.004	52.069
6.066	53.162
6.128	53.709
6.190	54.256
6.252	54.802
6.314	55.349
6.376	55.896
6.438	56.989
6.500	57.536
6.562	58.083
6.624	58.630
6.686	59.176
6.748	60.270
6.810	60.817
6.872	61.363
6.934	61.910
6.996	62.457
7.058	63.550
7.120	64.097
7.182	64.644
7.244	65.191
7.306	65.737
7.368	66.831
7.430	67.378
7.492	67.924
7.554	68.471
7.616	69.564
7.678	70.111
7.740	70.658
7.802	71.205
7.864	71.751
7.926	72.298
7.988	72.845
8.050	73.938
8.112	74.485
8.175	75.032
8.236	75.579
8.298	76.125
8.360	76.672
8.422	77.766
8.484	78.312
8.546	78.859
8.608	79.406
8.670	79.953
8.733	80.499
8.794	81.593
8.856	82.140
8.918	82.686
8.980	83.780
9.042	84.327
9.104	84.873
9.166	85.420
9.228	85.967
9.290	87.060
9.352	87.607
9.414	88.154
9.477	88.701
9.538	89.247
9.600	89.794
9.662	90.341
9.724	91.434
9.786	91.434
9.848	92.528
9.910	93.074
9.972	93.621
10.034	94.168
10.096	94.715
10.158	95.261
10.220	96.355
10.282	96.902
10.344	97.448
10.406	97.995
10.468	99.089
10.530	99.635
10.592	100.182
10.654	100.729
10.716	101.276
10.778	101.822
10.840	102.916
10.902	103.463
10.964	104.009
11.026	104.556
11.088	105.103
11.150	106.196
11.212	106.743
11.274	107.290
11.336	107.837
11.398	108.383
11.460	108.930
11.522	110.024
11.584	110.570
11.647	111.117
11.708	111.664
11.770	112.210
11.832	112.757
11.894	113.851
11.956	114.397
12.018	114.944
12.080	115.491
12.142	116.038
12.204	116.584
