Motion Through Fluids Experiment Thu, Mar 02, 2023 1:54 PM
Time(sec)	Position(mm)
0.048	0.000
0.098	0.000
0.148	0.000
0.198	0.000
0.248	0.000
0.298	0.000
0.349	0.000
0.398	0.000
0.448	0.000
0.498	0.000
0.548	0.000
0.598	1.222
0.648	4.502
0.698	7.782
0.749	11.063
0.798	14.343
0.849	18.171
0.898	21.451
0.948	25.278
0.998	28.559
1.048	32.386
1.098	36.213
1.148	39.494
1.198	43.321
1.249	47.148
1.298	50.975
1.348	54.256
1.398	58.083
1.448	61.910
1.498	65.191
1.548	69.018
1.598	72.845
1.648	76.672
1.698	79.953
1.748	83.780
1.798	87.607
1.848	90.887
1.898	94.715
1.948	98.542
1.998	102.369
2.048	106.196
2.098	109.477
2.148	113.304
2.198	117.131
2.248	120.412
2.298	124.239
2.348	127.519
2.398	131.347
2.448	135.174
2.498	138.454
2.548	142.281
2.598	146.109
2.648	149.936
2.698	153.216
2.748	157.043
2.798	160.871
2.848	164.698
2.898	168.525
2.948	171.806
2.998	175.633
3.048	179.460
3.098	183.287
3.148	187.114
3.198	190.942
3.248	194.769
3.298	198.596
3.348	201.876
3.398	205.704
3.448	209.531
3.498	213.358
3.548	217.185
3.598	221.012
3.648	224.293
3.698	228.120
3.748	231.947
3.798	235.228
3.848	239.055
3.898	242.882
3.948	246.709
3.998	249.990
4.048	253.817
4.098	0.000
4.148	0.000
4.198	0.000
4.248	0.000
4.299	0.000
4.348	0.000
4.398	0.000
