# fluid, bead_number, velocity, velocity error 
water,1,0.07363872593221149,2.417957267762659e-05
water,1,0.07219519554545567,2.366180787806909e-05
water,1,0.07405150758879785,2.4178532005110363e-05
water,1,0.07492420241042919,2.5267906302979195e-05
water,1,0.07413458463093933,2.4712941890303623e-05
water,2,0.093861448783475,3.3975893477080434e-05
water,2,0.09304652429010765,3.402706085627873e-05
water,2,0.0943466243987938,3.4924840880226363e-05
water,2,0.09470141732993889,3.492502729300229e-05
water,2,0.09414657382303819,3.4922492623145e-05
water,3,0.10953752457709906,4.442360098114517e-05
water,3,0.10956917811150284,5.668602826180453e-05
water,3,0.1100218265134282,4.4423928477405384e-05
water,3,0.11026316194146019,4.442343202049128e-05
water,3,0.10809603255229933,4.3013927111049264e-05
water,4,0.11563640031155974,5.215426330935843e-05
water,4,0.11799694592754889,0.00010329920717309995
water,4,0.11354973050194152,6.461417909466507e-05
water,4,0.11752620720695495,4.749160256904394e-05
water,4,0.11771682428002976,9.421407841993515e-05
water,5,0.14239022876557006,0.00014002800806742853
water,5,0.13755277636519925,0.00012187247715675034
water,5,0.13868029437722168,0.00010312859440032005
water,5,0.13621404351243596,0.00015044096809227776
water,5,0.13691476775666994,0.00010193473510448567
glycerol,1,0.003341962626396511,4.864840554757817e-07
glycerol,1,0.0033622763281919124,5.52851898066221e-07
glycerol,1,0.0032264522748273903,4.963996236237022e-07
glycerol,1,0.003237542196621364,4.5912937782080126e-07
glycerol,1,0.0029309718464330973,3.8580349408217474e-07
glycerol,2,0.00738115457433328,7.904204047540266e-07
glycerol,2,0.007493617833119163,1.1379156506905425e-06
glycerol,2,0.0071940024422983175,1.0698241463763245e-06
glycerol,2,0.0071904464784342806,1.069091154919486e-06
glycerol,2,0.006722546808518223,9.464795526946717e-07
glycerol,3,0.01242793460650688,1.970321362904136e-06
glycerol,3,0.012582601975486484,2.010116179849269e-06
glycerol,3,0.012231675718364437,1.931825919412491e-06
glycerol,3,0.012339525375022836,1.9605835577021936e-06
glycerol,3,0.01142695474345259,1.717141685444968e-06
glycerol,4,0.027411714356812274,5.553413371669228e-06
glycerol,4,0.027338314775225407,5.551825987829739e-06
glycerol,4,0.026745833865179716,5.4509833641010555e-06
glycerol,4,0.026783022761596675,5.3328964524226504e-06
glycerol,4,0.026933502458880446,5.375518311600932e-06
glycerol,5,0.04628575905942884,1.2011114587406543e-05
glycerol,5,0.04633163137750726,1.2176703558441724e-05
glycerol,5,0.04438431083306136,1.1384523080665758e-05
glycerol,5,0.04479289876418902,1.1535707941885267e-05
glycerol,5,0.04491168049530764,1.1690927271896914e-05
